date,hour,percentage,variable
2024-03-01,0,1.1,Yesterday
2024-03-01,1,0.1,Yesterday
2024-03-01,2,0,Yesterday
2024-03-01,3,0,Yesterday
2024-03-01,4,0,Yesterday
2024-03-01,5,0,Yesterday
2024-03-01,6,0.2,Yesterday
2024-03-01,7,0.5,Yesterday
2024-03-01,8,0.1,Yesterday
2024-03-01,9,0.2,Yesterday
2024-03-01,10,0.1,Yesterday
2024-03-01,11,0,Yesterday
2024-03-01,12,1.5,Yesterday
2024-03-01,13,0.1,Yesterday
2024-03-01,14,0.3,Yesterday
2024-03-01,15,0.6,Yesterday
2024-03-01,16,0.5,Yesterday
2024-03-01,17,0.5,Yesterday
2024-03-01,18,0.9,Yesterday
2024-03-01,19,1.6,Yesterday
2024-03-01,20,2.2,Yesterday
2024-03-01,21,4.5,Yesterday
2024-03-01,22,6.3,Yesterday
2024-03-01,23,11.1,Yesterday
2024-03-01,24,65.5,Yesterday
2024-04-01,0,1.4,Yesterday
2024-04-01,1,0.1,Yesterday
2024-04-01,2,0,Yesterday
2024-04-01,3,0.1,Yesterday
2024-04-01,4,0.2,Yesterday
2024-04-01,5,0.1,Yesterday
2024-04-01,6,0.1,Yesterday
2024-04-01,7,0,Yesterday
2024-04-01,8,0,Yesterday
2024-04-01,9,0.1,Yesterday
2024-04-01,10,0.1,Yesterday
2024-04-01,11,0,Yesterday
2024-04-01,12,1.2,Yesterday
2024-04-01,13,0,Yesterday
2024-04-01,14,0.3,Yesterday
2024-04-01,15,0.3,Yesterday
2024-04-01,16,0.4,Yesterday
2024-04-01,17,0.2,Yesterday
2024-04-01,18,1.1,Yesterday
2024-04-01,19,0.8,Yesterday
2024-04-01,20,0.7,Yesterday
2024-04-01,21,5.1,Yesterday
2024-04-01,22,5.1,Yesterday
2024-04-01,23,6.4,Yesterday
2024-04-01,24,76.2,Yesterday
2024-05-01,0,1,Yesterday
2024-05-01,1,0,Yesterday
2024-05-01,2,0.2,Yesterday
2024-05-01,3,0.2,Yesterday
2024-05-01,4,0.1,Yesterday
2024-05-01,5,0.1,Yesterday
2024-05-01,6,0.3,Yesterday
2024-05-01,7,0,Yesterday
2024-05-01,8,0.1,Yesterday
2024-05-01,9,0,Yesterday
2024-05-01,10,0,Yesterday
2024-05-01,11,0,Yesterday
2024-05-01,12,0.8,Yesterday
