date,quint,vw5,n,percent,quintile_label
2024-03-01,1,1,24620855.5680542,0.516976667015351,Poorest
2024-03-01,2,1,27500146.767089844,0.495587169834272,2
2024-03-01,3,1,27523166.568847656,0.4936502816597332,3
2024-03-01,4,1,36128180.107055664,0.6594775936520081,4
2024-03-01,5,1,31366976.423583984,0.5686195053110964,Richest
2024-04-01,1,1,34450817.6418457,0.6211281986795053,Poorest
2024-04-01,2,1,42281212.228027344,0.7642078024337212,2
2024-04-01,3,1,39336469.44458008,0.7132567560478694,3
2024-04-01,4,1,42320712.814453125,0.7654654079202384,4
2024-04-01,5,1,39878450.596191406,0.7218757905065729,Richest
2024-05-01,1,1,35071443.318115234,0.6643766826357159,Poorest
2024-05-01,2,1,37964422.341430664,0.6858060220433515,2
2024-05-01,3,1,36979531.229003906,0.6640468962832697,3
2024-05-01,4,1,39765825.341552734,0.7236317864427482,4
2024-05-01,5,1,38471149.048828125,0.6974210868821092,Richest
2024-06-01,1,1,38497428.533691406,0.6996708567849623,Poorest
2024-06-01,2,1,35128799.31640625,0.6351741767660242,2
2024-06-01,3,1,36375855.23828125,0.6601283167653805,3
2024-06-01,4,1,30967352.095703125,0.5592871358637992,4
2024-06-01,5,1,37930873.86328125,0.6877543768095323,Richest
2024-07-01,1,1,33952508.61242676,0.6571420038223609,Poorest
2024-07-01,2,1,30470215.001953125,0.5474366726610457,2
2024-07-01,3,1,37644607.94506836,0.681362323890051,3
2024-07-01,4,1,33743085.21191406,0.6076147904893514,4
2024-07-01,5,1,37083195.42089844,0.6759209583301086,Richest
2024-08-01,1,1,31387025.87915039,0.6044502301834472,Poorest
2024-08-01,2,1,37290731.26953125,0.663406411059761,2
2024-08-01,3,1,34365920.56665039,0.6305287310890102,3
2024-08-01,4,1,34682964.10058594,0.6251118436868596,4
2024-08-01,5,1,33214671.002929688,0.60270697384466565,Richest
2024-09-01,1,1,32441098.424072266,0.5871100285548277,Poorest
2024-09-01,2,1,41808081.291015625,0.7601120485090019,2
2024-09-01,3,1,34186740.111816406,0.6166380764280966,3
2024-09-01,4,1,36517743.3828125,0.6592544481028106,4
2024-09-01,5,1,33129706.23388672,0.6008091228344696,Richest
2024-10-01,1,1,34828327.353027344,0.6574760923548065,Poorest
2024-10-01,2,1,35930371.39746094,0.6467478754583926,2
2024-10-01,3,1,33385702.05078125,0.6037248515386227,3
2024-10-01,4,1,34148189.11035156,0.6185651806307766,4
2024-10-01,5,1,37247752.364746094,0.6749972631032123,Richest
2024-11-01,1,1,32637019.80078125,0.5938133298773124,Poorest
2024-11-01,2,1,40525504.83154297,0.7312180683571777,2
2024-11-01,3,1,38076022.978515625,0.6800258969524725,3
2024-11-01,4,1,28298672.64111328,0.5181442192837608,4
2024-11-01,5,1,32829231.095214844,0.5950268186757873,Richest
2024-12-01,1,1,37698215.34667969,0.6975366800101649,Poorest
2024-12-01,2,1,36624785.76611328,0.6624032623690961,2
