quint,date,mean_nom_save,mean_real_save,n_obs,quintile_label
1,2024-03-01,272688.9821078402,270256.6871301437,382,Poorest
1,2024-04-01,357083.43469439767,352849.25607215293,293,Poorest
1,2024-05-01,390513.63779518014,385883.0547543777,353,Poorest
1,2024-06-01,305960.549046587,302631.5902974481,310,Poorest
1,2024-07-01,156339.3779388275,154944.88271266388,328,Poorest
1,2024-08-01,503243.1034837001,498754.3424648199,256,Poorest
1,2024-09-01,229310.3671881301,227716.35962014092,288,Poorest
1,2024-10-01,199266.38808426328,197684.90563423012,240,Poorest
1,2024-11-01,1456052.426673118,1440210.0624203319,240,Poorest
1,2024-12-01,236560.14449587642,232834.7804588836,254,Poorest
1,2025-01-01,690754.6541684034,685272.4633516355,284,Poorest
1,2025-02-01,278610.0999297156,277776.7638102963,285,Poorest
1,2025-03-01,941530.7725281055,923069.402092409,210,Poorest
1,2025-04-01,321087.5093289563,311131.32387779036,220,Poorest
1,2025-05-01,553033.6562726768,537970.4842527459,234,Poorest
1,2025-06-01,215936.69902957286,209647.28643459207,220,Poorest
1,2025-07-01,793740.9588095242,768384.2833221985,213,Poorest
1,2025-08-01,156091.59293591944,151251.55150956247,211,Poorest
1,2025-09-01,319723.174571537,309210.0217419972,219,Poorest
1,2025-10-01,237519.08366731767,229044.45246886593,191,Poorest
2,2024-03-01,346446.2736097896,343356.0881361078,338,2
2,2024-04-01,297854.8653511509,294322.99973974057,248,2
2,2024-05-01,313531.6086143555,309813.85330675053,309,2
2,2024-06-01,374836.86440261814,370758.5070354959,243,2
2,2024-07-01,449297.8518027685,445290.2644775222,290,2
2,2024-08-01,313143.9685069263,310350.82851275476,242,2
2,2024-09-01,392642.78270444676,389913.4007980729,224,2
2,2024-10-01,409926.6660765623,406673.2732970107,234,2
2,2024-11-01,308123.4913934612,304770.9990682715,218,2
2,2024-12-01,304354.98034331674,299561.9789665763,250,2
2,2025-01-01,321208.582892789,318659.30330013565,282,2
2,2025-02-01,595369.6579578978,593588.8788673055,229,2
2,2025-03-01,298146.4387049243,292300.4355687379,217,2
2,2025-04-01,354534.16550986044,343540.8761478185,248,2
2,2025-05-01,256800.61078701098,249806.04231684026,209,2
2,2025-06-01,359886.43981423473,349404.3202046335,216,2
2,2025-07-01,400570.425376132,387773.8899657425,198,2
2,2025-08-01,355788.7156535566,344756.5255758981,224,2
2,2025-09-01,266586.93103627925,257821.0067266065,214,2
2,2025-10-01,361737.1874919211,348830.480344747,217,2
3,2024-03-01,544765.0908632178,539905.967534183,363,3
3,2024-04-01,599453.228759627,592345.1083607576,250,3
3,2024-05-01,436981.08410634374,431799.505279446,251,3
3,2024-06-01,512932.908574224,507352.0175115025,238,3
3,2024-07-01,691440.2383055263,685272.821470391,276,3
3,2024-08-01,427746.7656914095,423931.4068827222,247,3
3,2024-09-01,381166.11825548543,378516.51420744066,257,3
3,2024-10-01,445760.1267229715,442222.3408268433,254,3
3,2024-11-01,356993.106973441,353108.8959843289,234,3
3,2024-12-01,449578.19976930314,442498.213997373,263,3
3,2025-01-01,618657.0512999108,613747.0648309117,280,3
3,2025-02-01,840617.3152339117,838102.9886837599,240,3
3,2025-03-01,636309.7967641017,623833.1457478183,230,3
3,2025-04-01,387166.96636345907,375161.8088731041,255,3
3,2025-05-01,422645.3152349013,411133.5762754512,207,3
3,2025-06-01,450475.0485693455,437354.4282351029,194,3
3,2025-07-01,449333.377127614,434979.07109994284,193,3
