date,quint,variable,response,n,percent,quintile_label,variable_label
2024-03-01,1,sv1,Yes,8094714.8310546875,0.17217105444493583,Poorest,Bank account usage
2024-03-01,1,sv12,Yes,7437467.369384766,0.15819168755323965,Poorest,Applied for credit/loan
2024-03-01,1,sv19,Yes,17674985.852539063,0.3759392412264232,Poorest,Has outstanding loan
2024-03-01,1,sv2,Yes,2393581.2119140625,0.0509104285643052,Poorest,Mobile money/e-wallet usage
2024-03-01,1,sv44,Yes,1662576.55859375,0.03536227837086417,Poorest,Opened new account
2024-03-01,1,sv7,Yes,16711750.102050781,0.3554516368695173,Poorest,Has payment card
2024-03-01,1,sv9,Yes,581207.4765625,0.01236202956862013,Poorest,QRIS transaction usage
2024-03-01,1,wb6,Yes,19022083.489501953,0.3854153042222961,Poorest,Borrowed for basic needs
2024-03-01,2,sv1,Yes,13497292.390625,0.24323815407052682,2,Bank account usage
2024-03-01,2,sv12,Yes,7271869.4560546875,0.13104821707509018,2,Applied for credit/loan
2024-03-01,2,sv19,Yes,27179542.95751953,0.48980948668338853,2,Has outstanding loan
2024-03-01,2,sv2,Yes,6371235.96875,0.1148176709324983,2,Mobile money/e-wallet usage
2024-03-01,2,sv44,Yes,3288496.5283203125,0.05926283598713159,2,Opened new account
2024-03-01,2,sv7,Yes,20503419.635742188,0.36949736287815477,2,Has payment card
2024-03-01,2,sv9,Yes,2700434.69921875,0.04866522354381265,2,QRIS transaction usage
2024-03-01,2,wb6,Yes,20852251.286132813,0.3757837471592959,2,Borrowed for basic needs
2024-03-01,3,sv1,Yes,17089406.520507813,0.3069185425565675,3,Bank account usage
2024-03-01,3,sv12,Yes,4737414.3349609375,0.08508196592011293,3,Applied for credit/loan
2024-03-01,3,sv19,Yes,26773139.73486328,0.4808343120181911,3,Has outstanding loan
2024-03-01,3,sv2,Yes,6648040.3251953125,0.11939600389385571,3,Mobile money/e-wallet usage
2024-03-01,3,sv44,Yes,888427.318359375,0.015955780406480515,3,Opened new account
2024-03-01,3,sv7,Yes,24910241.283691406,0.44737744054179246,3,Has payment card
2024-03-01,3,sv9,Yes,2734894.5625,0.04911755432589702,3,QRIS transaction usage
2024-03-01,3,wb6,Yes,19823122.34765625,0.3555437527806804,3,Borrowed for basic needs
2024-03-01,4,sv1,Yes,21947900.25756836,0.40063320113787676,4,Bank account usage
2024-03-01,4,sv12,Yes,7397389.528564453,0.135030677746525,4,Applied for credit/loan
2024-03-01,4,sv19,Yes,25674229.399169922,0.4695115562620154,4,Has outstanding loan
2024-03-01,4,sv2,Yes,8575658.493408203,0.15653859703023798,4,Mobile money/e-wallet usage
2024-03-01,4,sv44,Yes,2125934.1953125,0.038877531903024856,4,Opened new account
2024-03-01,4,sv7,Yes,29625671.017089844,0.5407819097109979,4,Has payment card
2024-03-01,4,sv9,Yes,4097884.0825195313,0.07480207211647145,4,QRIS transaction usage
2024-03-01,4,wb6,Yes,20991036.83178711,0.3829625739133368,4,Borrowed for basic needs
2024-03-01,5,sv1,Yes,33377269.821289063,0.6050620371604131,Richest,Bank account usage
2024-03-01,5,sv12,Yes,8145729.00390625,0.14766550444807555,Richest,Applied for credit/loan
2024-03-01,5,sv19,Yes,30193920.141845703,0.5473543800527186,Richest,Has outstanding loan
2024-03-01,5,sv2,Yes,10661362.759765625,0.1932688295019097,Richest,Mobile money/e-wallet usage
2024-03-01,5,sv44,Yes,699856.115234375,0.012714680236490876,Richest,Opened new account
2024-03-01,5,sv7,Yes,38331240.17504883,0.6948674469595784,Richest,Has payment card
2024-03-01,5,sv9,Yes,3079394.185546875,0.05582315537199812,Richest,QRIS transaction usage
2024-03-01,5,wb6,Yes,13650942.987548828,0.2471628692298636,Richest,Borrowed for basic needs
2024-04-01,1,sv1,Yes,3140734.9750976563,0.056625624328944496,Poorest,Bank account usage
2024-04-01,1,sv12,Yes,6852760.772705078,0.13119077249218186,Poorest,Applied for credit/loan
2024-04-01,1,sv19,Yes,19073934.295410156,0.3635389486700372,Poorest,Has outstanding loan
2024-04-01,1,sv2,Yes,3029617.185546875,0.05462223523140703,Poorest,Mobile money/e-wallet usage
2024-04-01,1,sv40,Agree,36973721.07128906,0.6666146796932124,Poorest,Would borrow at lower rates
2024-04-01,1,sv41,Agree,32844896.960205078,0.5921743831103209,Poorest,Lenders not trustworthy
2024-04-01,1,sv42,Agree,28902386.703125,0.521093216918167,Poorest,No current borrowing needs
2024-04-01,1,sv44,Yes,683453.37109375,0.012322266649290278,Poorest,Opened new account
2024-04-01,1,sv7,Yes,12901021.74243164,0.23259791623257367,Poorest,Has payment card
2024-04-01,1,sv9,Yes,650056.3671875,0.011720138099157262,Poorest,QRIS transaction usage
2024-04-01,1,wb6,Yes,20581489.63671875,0.3702095839557094,Poorest,Borrowed for basic needs
2024-04-01,2,sv1,Yes,14734485.1484375,0.2663170690223391,2,Bank account usage
2024-04-01,2,sv12,Yes,6937703.071777344,0.1256235824154307,2,Applied for credit/loan
2024-04-01,2,sv19,Yes,24228077.45654297,0.4448890957230504,2,Has outstanding loan
2024-04-01,2,sv2,Yes,4251940.603515625,0.07685130140468036,2,Mobile money/e-wallet usage
2024-04-01,2,sv40,Agree,35788956.63720703,0.646864138038735,2,Would borrow at lower rates
2024-04-01,2,sv41,Agree,31492550.791015625,0.5692091537782585,2,Lenders not trustworthy
2024-04-01,2,sv42,Agree,31899683.9453125,0.5765678437672102,2,No current borrowing needs
2024-04-01,2,sv44,Yes,1062653.939453125,0.019206838901338136,2,Opened new account
2024-04-01,2,sv7,Yes,19481985.30517578,0.35212531506476763,2,Has payment card
2024-04-01,2,sv9,Yes,4189303.77734375,0.07571917796833998,2,QRIS transaction usage
2024-04-01,2,wb6,Yes,16312238.7890625,0.2948340291317415,2,Borrowed for basic needs
2024-04-01,3,sv1,Yes,14019709.652832031,0.25420818820052404,3,Bank account usage
2024-04-01,3,sv12,Yes,5067983.54296875,0.09206944678858145,3,Applied for credit/loan
2024-04-01,3,sv19,Yes,23647444.302734375,0.43606918448768295,3,Has outstanding loan
2024-04-01,3,sv2,Yes,6758246.984375,0.12254189022827457,3,Mobile money/e-wallet usage
2024-04-01,3,sv40,Agree,38652929.56713867,0.7008626738514462,3,Would borrow at lower rates
2024-04-01,3,sv41,Agree,38758040.65258789,0.7027685691412562,3,Lenders not trustworthy
2024-04-01,3,sv42,Agree,27719113.016357422,0.5026085185002658,3,No current borrowing needs
2024-04-01,3,sv44,Yes,383404.5407714844,0.006951968055749628,3,Opened new account
2024-04-01,3,sv7,Yes,19893348.278076172,0.360710182181998,3,Has payment card
2024-04-01,3,sv9,Yes,1490932.6328125,0.02703388962407948,3,QRIS transaction usage
2024-04-01,3,wb6,Yes,14349150.31665039,0.260181672412583,3,Borrowed for basic needs
2024-04-01,4,sv1,Yes,26184971.310546875,0.4736141811572299,4,Bank account usage
2024-04-01,4,sv12,Yes,6555673.6796875,0.1195180287541888,4,Applied for credit/loan
2024-04-01,4,sv19,Yes,24607530.205078125,0.4513521443011633,4,Has outstanding loan
2024-04-01,4,sv2,Yes,8067380.121582031,0.14591673922622259,4,Mobile money/e-wallet usage
2024-04-01,4,sv40,Agree,34916772.43457031,0.6315484706523812,4,Would borrow at lower rates
2024-04-01,4,sv41,Agree,40963918.553222656,0.7409247278709665,4,Lenders not trustworthy
2024-04-01,4,sv42,Agree,37415385.65722656,0.6767415182766237,4,No current borrowing needs
2024-04-01,4,sv44,Yes,893779.234375,0.016166010464687835,4,Opened new account
2024-04-01,4,sv7,Yes,32828529.59033203,0.5937778955770135,4,Has payment card
2024-04-01,4,sv9,Yes,3612709.4995117188,0.06534398801044375,4,QRIS transaction usage
2024-04-01,4,wb6,Yes,11814528.391113281,0.21369235518169827,4,Borrowed for basic needs
