date,business_income,variable,response,n,percent,variable_label
2024-03-01,Has Business Income,sv1,Yes,51493769.90209961,0.3959425792962034,Bank account usage
2024-03-01,Has Business Income,sv12,Yes,16743162.947753906,0.12874045026639236,Applied for credit/loan
2024-03-01,Has Business Income,sv19,Yes,68923077.85961914,0.5303674333344371,Has outstanding loan
2024-03-01,Has Business Income,sv2,Yes,17059544.228759766,0.13117314883712547,Mobile money/e-wallet usage
2024-03-01,Has Business Income,sv3,Yes,34277615.87036133,0.26350604927026006,Able to save for future
2024-03-01,Has Business Income,sv9,Yes,5976507.005371094,0.04595417277444225,QRIS transaction usage
2024-03-01,No Business Income,sv1,Yes,42512813.91894531,0.30780521702721725,Bank account usage
2024-03-01,No Business Income,sv12,Yes,18246706.745117188,0.13211149796908386,Applied for credit/loan
2024-03-01,No Business Income,sv19,Yes,58572740.22631836,0.4240837845176449,Has outstanding loan
2024-03-01,No Business Income,sv2,Yes,17590334.530273438,0.1273591710018355,Mobile money/e-wallet usage
2024-03-01,No Business Income,sv3,Yes,24322051.580810547,0.17609877294060547,Able to save for future
2024-03-01,No Business Income,sv9,Yes,7217308.0009765625,0.05225542256102852,QRIS transaction usage
2024-04-01,Has Business Income,sv1,Yes,43674911.66455078,0.3334971805002069,Bank account usage
2024-04-01,Has Business Income,sv12,Yes,14148967.973876953,0.10806407708595783,Applied for credit/loan
2024-04-01,Has Business Income,sv19,Yes,62233740.971191406,0.4799862222511477,Has outstanding loan
2024-04-01,Has Business Income,sv2,Yes,16702123.651855469,0.12753571636369582,Mobile money/e-wallet usage
2024-04-01,Has Business Income,sv3,Yes,27432789.893066406,0.20947399167879505,Able to save for future
2024-04-01,Has Business Income,sv9,Yes,6963320.642822266,0.05317120774362073,QRIS transaction usage
2024-04-01,No Business Income,sv1,Yes,47219068.412597656,0.3243382938034696,Bank account usage
2024-04-01,No Business Income,sv12,Yes,15837987.276855469,0.11173777147652823,Applied for credit/loan
2024-04-01,No Business Income,sv19,Yes,58045427.17480469,0.41248777724022406,Has outstanding loan
2024-04-01,No Business Income,sv2,Yes,15728897.05078125,0.10803863363597792,Mobile money/e-wallet usage
2024-04-01,No Business Income,sv3,Yes,24602105.521484375,0.1689869198411022,Able to save for future
2024-04-01,No Business Income,sv9,Yes,7750972.5,0.053239872798865204,QRIS transaction usage
2024-05-01,Has Business Income,sv1,Yes,50028048.80053711,0.3623042978926564,Bank account usage
2024-05-01,Has Business Income,sv12,Yes,17905194.008789063,0.13053271022062962,Applied for credit/loan
2024-05-01,Has Business Income,sv19,Yes,67816269.27368164,0.49866382832985334,Has outstanding loan
2024-05-01,Has Business Income,sv2,Yes,20163749.440429688,0.14602634440182063,Mobile money/e-wallet usage
2024-05-01,Has Business Income,sv3,Yes,31649648.959472656,0.22920749698892262,Able to save for future
2024-05-01,Has Business Income,sv9,Yes,9436449.0205078125,0.06837047405428577,QRIS transaction usage
2024-05-01,No Business Income,sv1,Yes,40130241.82495117,0.2994454744600742,Bank account usage
2024-05-01,No Business Income,sv12,Yes,18045234.37866211,0.13522113302770852,Applied for credit/loan
2024-05-01,No Business Income,sv19,Yes,56547646.36425781,0.4265990029504139,Has outstanding loan
2024-05-01,No Business Income,sv2,Yes,15725866.266601563,0.11734391001278024,Mobile money/e-wallet usage
2024-05-01,No Business Income,sv3,Yes,21444618.228515625,0.16001632654155656,Able to save for future
2024-05-01,No Business Income,sv9,Yes,6935717.73046875,0.05175322131326057,QRIS transaction usage
2024-06-01,Has Business Income,sv1,Yes,48874244.39013672,0.3600928081947108,Bank account usage
2024-06-01,Has Business Income,sv12,Yes,9217931.9013671875,0.06872876455913313,Applied for credit/loan
2024-06-01,Has Business Income,sv19,Yes,69898448.46777344,0.5184795069089119,Has outstanding loan
2024-06-01,Has Business Income,sv2,Yes,21718416.239257813,0.1600156808708481,Mobile money/e-wallet usage
2024-06-01,Has Business Income,sv3,Yes,32777595.74560547,0.24149685882996547,Able to save for future
2024-06-01,Has Business Income,sv9,Yes,9812787.0556640625,0.07229808033214068,QRIS transaction usage
2024-06-01,No Business Income,sv1,Yes,39777691.42089844,0.28370206202361103,Bank account usage
2024-06-01,No Business Income,sv12,Yes,15213500.135498047,0.10960381909375698,Applied for credit/loan
2024-06-01,No Business Income,sv19,Yes,64159116.478515625,0.46338644291571846,Has outstanding loan
2024-06-01,No Business Income,sv2,Yes,12206713.4609375,0.08706060245567462,Mobile money/e-wallet usage
2024-06-01,No Business Income,sv3,Yes,25407663.802246094,0.18121229147332626,Able to save for future
2024-06-01,No Business Income,sv9,Yes,8133886.5966796875,0.058012426496221195,QRIS transaction usage
2024-07-01,Has Business Income,sv1,Yes,52456279.786621094,0.38275149204645487,Bank account usage
2024-07-01,Has Business Income,sv12,Yes,11457846.450195313,0.08374244632912081,Applied for credit/loan
2024-07-01,Has Business Income,sv19,Yes,71559374.705078125,0.5236400950060164,Has outstanding loan
2024-07-01,Has Business Income,sv2,Yes,23700107.434570313,0.17292975253187276,Mobile money/e-wallet usage
2024-07-01,Has Business Income,sv3,Yes,31052735.241210938,0.22657879655294186,Able to save for future
2024-07-01,Has Business Income,sv9,Yes,7627262.2861328125,0.05565293673364088,QRIS transaction usage
2024-07-01,No Business Income,sv1,Yes,45765377.33898926,0.33822541631339315,Bank account usage
2024-07-01,No Business Income,sv12,Yes,14670799.196411133,0.1105311152514293,Applied for credit/loan
2024-07-01,No Business Income,sv19,Yes,56259821.619140625,0.4204001160078112,Has outstanding loan
2024-07-01,No Business Income,sv2,Yes,14315676.651367188,0.10579888065495242,Mobile money/e-wallet usage
2024-07-01,No Business Income,sv3,Yes,23293004.87902832,0.1721451177829018,Able to save for future
2024-07-01,No Business Income,sv9,Yes,9507520.23828125,0.0702645794195413,QRIS transaction usage
2024-08-01,Has Business Income,sv1,Yes,42853030.447753906,0.3156503578290981,Bank account usage
2024-08-01,Has Business Income,sv12,Yes,11166600.626953125,0.08265040982851689,Applied for credit/loan
2024-08-01,Has Business Income,sv19,Yes,70025338.4584961,0.5175843078963955,Has outstanding loan
2024-08-01,Has Business Income,sv2,Yes,21928246.600341797,0.16152087293806275,Mobile money/e-wallet usage
2024-08-01,Has Business Income,sv3,Yes,31235921.111816406,0.23008010339168697,Able to save for future
2024-08-01,Has Business Income,sv9,Yes,7559074.7060546875,0.055679250939605546,QRIS transaction usage
