date,wb32,n,percentage,class_label
2024-03-01,1,5418751.508056641,2.0087014189202135,Extreme poor
2024-03-01,2,57620050.05053711,21.35943604770994,Poor
2024-03-01,3,179695276.2468872,66.61205184140898,Lower middle class
2024-03-01,4,26316249.869628906,9.755289271926864,Upper middle class
2024-03-01,5,713583.328125,0.26452142003399526,Rich
2024-04-01,1,4138297.9921875,1.496421828260742,Extreme poor
2024-04-01,2,59570484.998535156,21.540878457804443,Poor
2024-04-01,3,182084137.16235352,65.84220806335382,Lower middle class
2024-04-01,4,30726770.334960938,11.11089871439758,Upper middle class
2024-04-01,5,26528.90234375,0.009592936183409187,Rich
2024-05-01,1,5093989.556396484,1.8512290611781712,Extreme poor
2024-05-01,2,47274223.23486328,17.18013257155402,Poor
2024-05-01,3,188424714.45495605,68.47625095838802,Lower middle class
2024-05-01,4,34096115.76464844,12.391018803239087,Upper middle class
2024-05-01,5,278933.94140625,0.10136860564070388,Rich
2024-06-01,1,3418657.5390625,1.2385677043817216,Extreme poor
2024-06-01,2,52432382.931884766,18.996069486684146,Poor
2024-06-01,3,182351713.8569336,66.06539000797112,Lower middle class
2024-06-01,4,37632093.169921875,13.633976119565064,Upper middle class
2024-06-01,5,182162.06640625,0.06599668139795356,Rich
2024-07-01,1,4941165.7734375,1.8001682504516627,Extreme poor
2024-07-01,2,50501094.532836914,18.398586722142277,Poor
2024-07-01,3,183407509.93286133,66.819125569601,Lower middle class
2024-07-01,4,34792776.313964844,12.67572353110779,Upper middle class
2024-07-01,5,841006.42578125,0.3063959266972747,Rich
2024-08-01,1,3547346.4233398438,1.2867434927561494,Extreme poor
2024-08-01,2,50234161.55834961,18.22164310595017,Poor
2024-08-01,3,181499758.3161621,65.83615048519928,Lower middle class
2024-08-01,4,39164842.841796875,14.206423804544057,Upper middle class
2024-08-01,5,1237929.15625,0.4490391115503395,Rich
2024-09-01,1,3234191.849609375,1.1703084031655526,Extreme poor
2024-09-01,2,52172094.11791992,18.878731688202198,Poor
2024-09-01,3,175843202.5444336,63.6297372408963,Lower middle class
2024-09-01,4,42599589.6796875,15.41487335686789,Upper middle class
2024-09-01,5,2504730.84375,0.906349310868065,Rich
2024-10-01,1,6786002.760253906,2.470916897848044,Extreme poor
2024-10-01,2,52514749.94628906,19.1216519669814,Poor
2024-10-01,3,175466700.45629883,63.89087220926618,Lower middle class
2024-10-01,4,38657461.677734375,14.075941119106336,Upper middle class
2024-10-01,5,1210090.73828125,0.44061780679804496,Rich
2024-11-01,1,3494807.5864257813,1.2647632973831022,Extreme poor
2024-11-01,2,57285294.07470703,20.73142387206095,Poor
2024-11-01,3,179841156.18603516,65.08412497057219,Lower middle class
2024-11-01,4,34162617.23535156,12.363377196971653,Upper middle class
2024-11-01,5,1537203.625,0.5563106630121041,Rich
2024-12-01,1,3511771.5986328125,1.2699392035654922,Extreme poor
2024-12-01,2,55625350.89160156,20.115435137305944,Poor
2024-12-01,3,181576898.13867188,65.66247688143795,Lower middle class
2024-12-01,4,33593912.23339844,12.148348760192755,Upper middle class
2024-12-01,5,2222753.70703125,0.8038000174978511,Rich
2025-01-01,1,4706961.428222656,1.702560245442097,Extreme poor
2025-01-01,2,55288067.86376953,19.99830842627122,Poor
2025-01-01,3,179679602.34570313,64.99210850473276,Lower middle class
2025-01-01,4,34060568.56298828,12.320086080330537,Upper middle class
2025-01-01,5,2728522.056640625,0.9869367432234011,Rich
2025-02-01,1,6957811.765625,2.5147916701086013,Extreme poor
2025-02-01,2,57682122.15234375,20.848296158220474,Poor
2025-02-01,3,176437652.11621094,63.770615357472224,Lower middle class
2025-02-01,4,34482995.68066406,12.463336637899875,Upper middle class
2025-02-01,5,1114891.9765625,0.4029601762988251,Rich
2025-03-01,1,3377515.93359375,1.223795079986692,Extreme poor
2025-03-01,2,64672147.564941406,23.43303704801065,Poor
2025-03-01,3,176294838.4501953,63.877938746786725,Lower middle class
2025-03-01,4,29214634.041992188,10.585509027091424,Upper middle class
2025-03-01,5,2427913.54296875,0.8797200981245171,Rich
2025-04-01,1,4468165.2626953125,1.6155555010312017,Extreme poor
2025-04-01,2,64333043.885253906,23.2609128884835,Poor
2025-04-01,3,173608167.0576172,62.77154331231885,Lower middle class
2025-04-01,4,32383209.079101563,11.70880406004213,Upper middle class
2025-04-01,5,1778863.96875,0.6431842381243248,Rich
2025-05-01,1,4781875.2568359375,1.729307380676057,Extreme poor
2025-05-01,2,68809879.4790039,24.884261101617856,Poor
2025-05-01,3,172816124.1904297,62.49686221636909,Lower middle class
2025-05-01,4,28018758.770507813,10.132645403067558,Upper middle class
2025-05-01,5,2093043.55078125,0.75692389826944,Rich
2025-06-01,1,5393569.0556640625,1.9532137593084489,Extreme poor
2025-06-01,2,65803341.744140625,23.82985944495467,Poor
2025-06-01,3,175543448.35302734,63.57087026067011,Lower middle class
2025-06-01,4,27242978.883789063,9.865705000010403,Upper middle class
2025-06-01,5,2154848.578125,0.7803515350563719,Rich
2025-07-01,1,5385773.9833984375,1.9467374166833817,Extreme poor
2025-07-01,2,67003452.877441406,24.219012748320008,Poor
2025-07-01,3,173635234.1040039,62.76204833823158,Lower middle class
2025-07-01,4,27887309.502929688,10.080123864708966,Upper middle class
2025-07-01,5,2744646.4296875,0.9920776320560702,Rich
2025-08-01,1,6179343.630859375,2.244346738510442,Extreme poor
2025-08-01,2,67769598.1772461,24.614018207320957,Poor
2025-08-01,3,168934432.76660156,61.35723563072099,Lower middle class
2025-08-01,4,29779218.966796875,10.815856336221259,Upper middle class
2025-08-01,5,2666682.671875,0.9685430872263411,Rich
2025-09-01,1,3074689.95703125,1.1115245260543039,Extreme poor
2025-09-01,2,71469285.716796875,25.83670712949055,Poor
2025-09-01,3,168525513.38134766,60.92329438319262,Lower middle class
2025-09-01,4,30365349.115234375,10.977311779550373,Upper middle class
2025-09-01,5,3184335.3125,1.1511621817121553,Rich
2025-10-01,1,4451520.931640625,1.6098052000947822,Extreme poor
2025-10-01,2,68607603.3100586,24.8105935635503,Poor
2025-10-01,3,171500727.22265625,62.01987292494151,Lower middle class
2025-10-01,4,29572762.047851563,10.694409137205056,Upper middle class
2025-10-01,5,2392827.6640625,0.8653191742083528,Rich
