date,wb14_label,weighted_sum,proportion
2024-03-01,1. Very good,17539348.944335938,0.0649793791732506
2024-03-01,2. Good,164939514.99279785,0.6110641460742572
2024-03-01,3. Bad,72925800.349609375,0.270173838690878
2024-03-01,4. Very bad,14517104.241882324,0.05378263606161417
2024-04-01,1. Very good,19976607.283691406,0.07220230738594859
2024-04-01,2. Good,183277703.1123047,0.6624284528989328
2024-04-01,3. Bad,65019659.14794922,0.23500333911867047
2024-04-01,4. Very bad,8401499.799560547,0.030365900596448187
2024-05-01,1. Very good,19305765.89123535,0.07004528777164536
2024-05-01,2. Good,194683776.9909668,0.7063527684231389
2024-05-01,3. Bad,50089854.49707031,0.18173629020747573
2024-05-01,4. Very bad,11538941.91821289,0.04186565359774
2024-06-01,1. Very good,22692947.755859375,0.08212182717853206
2024-06-01,2. Good,197847240.6748047,0.715974719602066
2024-06-01,3. Bad,46262904.47680664,0.16741739711802275
2024-06-01,4. Very bad,9529625.634277344,0.03448605610137917
2024-07-01,1. Very good,25213257.986328125,0.09179659026478952
2024-07-01,2. Good,194565784.89782715,0.7083763488835059
2024-07-01,3. Bad,47780105.85058594,0.17395811370164235
2024-07-01,4. Very bad,7105279.580078125,0.025868947150062258
2024-08-01,1. Very good,23683829.661621094,0.08564315307069445
2024-08-01,2. Good,199694073.9970703,0.7221142184769058
2024-08-01,3. Bad,46919085.31591797,0.16966421660090142
2024-08-01,4. Very bad,6243853.0244140625,0.022578411851498274
2024-09-01,1. Very good,22440686.94970703,0.08120274161602897
2024-09-01,2. Good,192554087.78393555,0.6967665416157508
2024-09-01,3. Bad,52455456.37597656,0.1898126773033084
2024-09-01,4. Very bad,8903577.92578125,0.03221803946491188
2024-10-01,1. Very good,20368180.870117188,0.07415585147020295
2024-10-01,2. Good,193957290.10913086,0.7061537841112573
2024-10-01,3. Bad,48914640.646484375,0.17808693125956995
2024-10-01,4. Very bad,11427098.935546875,0.041603433158969826
2024-11-01,1. Very good,22589307.75830078,0.08175021559687498
2024-11-01,2. Good,198838324.43115234,0.7195915901935908
2024-11-01,3. Bad,47640436.763183594,0.17240970897341518
2024-11-01,4. Very bad,7253009.7548828125,0.026248485236119036
2024-12-01,1. Very good,20145329.356933594,0.07282728733881237
2024-12-01,2. Good,196733560.98754883,0.7112105898778339
2024-12-01,3. Bad,53385903.490478516,0.19299513373332042
2024-12-01,4. Very bad,6353079.671875,0.022966989050033308
2025-01-01,1. Very good,23984935.62939453,0.08675617702589589
2025-01-01,2. Good,200672202.73632813,0.7258536530501764
2025-01-01,3. Bad,44018924.09863281,0.15922133920218765
2025-01-01,4. Very bad,7787659.79296875,0.02816883072174015
2025-02-01,1. Very good,28996392.58544922,0.10480290210975021
2025-02-01,2. Good,184180363.46948242,0.6656909664313451
2025-02-01,3. Bad,53984510.93725586,0.19511852719358933
2025-02-01,4. Very bad,9514206.69921875,0.03438760426531536
2025-03-01,1. Very good,25698023.491210938,0.09303589717785503
2025-03-01,2. Good,198508761.70361328,0.7186716421625633
2025-03-01,3. Bad,38803337.75292969,0.1404817511577826
2025-03-01,4. Very bad,13206093.2734375,0.04781070950179906
2025-04-01,1. Very good,23413148.22607422,0.08465497175965234
2025-04-01,2. Good,197293218.97851563,0.7133535276728402
2025-04-01,3. Bad,47378066.55859375,0.1713049799120154
2025-04-01,4. Very bad,8487015.490234375,0.030686520655492027
2025-05-01,1. Very good,27369115.604003906,0.0989770980514811
2025-05-01,2. Good,199263528.45166016,0.720612462565608
2025-05-01,3. Bad,39937240.603027344,0.14442820280583538
2025-05-01,4. Very bad,9949796.5888671875,0.035982236577075596
2025-06-01,1. Very good,27382136.685546875,0.09913971156736819
2025-06-01,2. Good,194267808.5048828,0.7033656548856769
2025-06-01,3. Bad,46194217.990722656,0.16725069706111245
2025-06-01,4. Very bad,8353298.48828125,0.030243936485842435
2025-07-01,1. Very good,27922642.42919922,0.10092895275061839
2025-07-01,2. Good,188987304.5102539,0.6831119503015163
2025-07-01,3. Bad,47314829.95800781,0.17102379365935486
2025-07-01,4. Very bad,12431640,0.04493530328851047
2025-08-01,1. Very good,24537540.134765625,0.08876874784002016
2025-08-01,2. Good,184675499.29541016,0.6680952018477735
2025-08-01,3. Bad,50810029.439453125,0.18381397101270178
2025-08-01,4. Very bad,16397864.53125,0.05932207929950453
2025-09-01,1. Very good,20002856.284179688,0.07231189375748563
2025-09-01,2. Good,191036473.8305664,0.6906118307897007
2025-09-01,3. Bad,53946606.740234375,0.19502121295857047
2025-09-01,4. Very bad,11633236.627929688,0.0420550624942432
2025-10-01,1. Very good,23735199.64892578,0.08583369236465992
2025-10-01,2. Good,191167182.46679688,0.6913186058165928
2025-10-01,3. Bad,52839148.45703125,0.19108241264263726
2025-10-01,4. Very bad,8783910.603515625,0.0317652891761101
