category,institution,no_share,n
Do not trust,Directorate General of Taxes,16.97430306077974,2883
Do not trust,District government,16.627623113553394,2883
Do not trust,Justice/court system,16.704528453429166,2883
Do not trust,Media,13.643169372153158,2883
Do not trust,National banks,8.050511886466339,2883
Do not trust,National government,16.570420771345397,2883
Do not trust,Police,18.418887395087484,2883
Do not trust,Public healthcare centers,9.441955553522826,2883
Do not trust,Public schools,7.284957554177327,2883
Do not trust,Religious institutions,6.959470188113697,2883
Do not trust,Statistics service (BPS),12.079964164005496,2883
Inefficient/Incompetent,Directorate General of Taxes,24.927537393427166,2883
Inefficient/Incompetent,District government,21.14174863121497,2883
Inefficient/Incompetent,Justice/court system,22.536948872490612,2883
Inefficient/Incompetent,Media,32.77783421750358,2883
Inefficient/Incompetent,National banks,5.986246237199025,2883
Inefficient/Incompetent,National government,18.83548254796848,2883
Inefficient/Incompetent,Police,28.35807484970153,2883
Inefficient/Incompetent,Public healthcare centers,5.377899722779544,2883
Inefficient/Incompetent,Public schools,4.785477056063048,2883
Inefficient/Incompetent,Religious institutions,5.995454459698539,2883
Inefficient/Incompetent,Statistics service (BPS),17.52031067659317,2883
Unequal before the law,Directorate General of Taxes,19.41514686736187,2883
Unequal before the law,District government,20.048343992327897,2883
Unequal before the law,Justice/court system,20.334534333579793,2883
Unequal before the law,Media,20.927684763522326,2883
Unequal before the law,National banks,8.72690039311265,2883
Unequal before the law,National government,20.104542586080594,2883
Unequal before the law,Police,21.952010790557654,2883
Unequal before the law,Public healthcare centers,9.557191645053484,2883
Unequal before the law,Public schools,8.361359366325669,2883
Unequal before the law,Religious institutions,6.205483504182206,2883
Unequal before the law,Statistics service (BPS),15.245656049127,2883
