outcome,category,predictor,variable_label,term,estimate,std.error,statistic,p.value,conf.low,conf.high,n_obs,significance
life_satisfaction,Infrastructure,wat_disrupt,Water Service Disruption,wat_disrupt,-0.06212472531464826,0.04262711010643191,-1.457399414586972,0.1450315740250219,-0.1456723258882781,0.021422875258981608,14151,
life_satisfaction,Infrastructure,elec_disrupt,Electricity Disruption,elec_disrupt,-0.006031903475114995,0.023327594079585498,-0.2585737498061855,0.7959684465029844,-0.05175314771707235,0.039689340766842364,14151,
life_satisfaction,Infrastructure,homeint_dis,Home Internet Disruption,homeint_dis,-0.00461710218434018,0.028090408448961022,-0.16436579029205794,0.8694564535503513,-0.05967329105532341,0.05043908668664305,3122,
life_satisfaction,Infrastructure,nohomeint_dis,No Home Internet Disruption,nohomeint_dis,0.00461710218434018,0.028090408448961022,0.16436579029205794,0.8694564535503513,-0.05043908668664305,0.05967329105532341,3122,
life_satisfaction,Infrastructure,mobint_dis,Mobile Internet Disruption,mobint_dis,-0.007174330688963166,0.01703175414025629,-0.421232635809714,0.6735937617069487,-0.04055595539740643,0.026207294019480104,12273,
life_satisfaction,Financial Hardship,unab_pay_util,Unable to Pay Utilities,unab_pay_util,-0.1610972172947802,0.028682378358951294,-5.616592016139569,1.9900974365653227e-8,-0.21731364586927576,-0.10488078872028461,14021,***
life_satisfaction,Financial Hardship,able_pay_util,Able to Pay Utilities,able_pay_util,0.16109721729478022,0.028682378358951294,5.6165920161395695,1.9900974365653114e-8,0.10488078872028464,0.2173136458692758,14021,***
life_satisfaction,Education,miss_school,Child Missed Scheduled School,miss_school,-0.020410907810213468,0.021823241515530094,-0.9352830465487189,0.3496708827253332,-0.06318367520657175,0.022361859586144815,9177,
life_satisfaction,Health Issues,maj_illInj,Major Illness or Injury in Household,maj_illInj,-0.052701064854105,0.05005473115949622,-1.052868802474963,0.29242171674260165,-0.15080653518255238,0.045404405474342394,14151,
life_satisfaction,Health Issues,maj_birth,Birth in Household,maj_birth,0.0381113411871841,0.11112245055318354,0.3429670691877327,0.7316290692297828,-0.1796846597708886,0.2559073421452568,14151,
